NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,PBS_LPS_.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
146.5,3871873,6342370,4790171,4454271,4583216,930085,3216920,4023423,3440878,3138117,9824925,9859209,14224125,12965675,11266134,1521940,665480,1589752,1033792,1926640,13138228,15837238,21871809,20514244,9515260,6798368,4557441,4335787,5333413,7137111,5603539,4769919,5095158,3685421,5281906,16904833,16679292,11782937,15361067,18731953,932301,1840259,235023,1147205,3647311,4849358,6312449,3357742,7016107,6801987,7054873,797793,
147.5,3811114,6107018,4478853,4160917,4453405,815670,3222563,3826269,3388389,3277249,9640064,9564964,14266430,12909428,11410452,1518364,608859,1543277,978780,1900424,12970461,15319790,22164034,20047892,9245452,6302127,4447709,4465094,5277949,6590154,5129119,4652438,5008945,3539978,5360578,16457112,16292756,11373974,15308068,18348197,852178,1802835,220129,1018978,3333826,4706269,6293500,3426578,6591117,6440822,6897411,790379,
148.5,3784581,5884153,4213830,3892935,4336126,722106,3224743,3602838,3337631,3417131,9485098,9300652,14287530,12862718,11588906,1520086,561497,1508927,937237,1871329,12782421,14804118,22283380,19514084,9008485,5790827,4343792,4602855,5230347,6064117,4686775,4537322,4924444,3407878,5416212,16016946,15898345,10995183,15238012,17919885,777886,1768652,207588,902178,3007297,4562592,6292570,3509782,6167452,6069473,6741419,781406,
149.5,3790622,5673641,3991523,3649765,4230073,646492,3222386,3359993,3288528,3555539,9357314,9066212,14283772,12821510,11797749,1526820,522266,1485942,907706,1838519,12574990,14291925,22214271,18919196,8802239,5278259,4245016,4744468,5187978,5565977,4279589,4424473,4841140,3288825,5445004,15590933,15500590,10647136,15147170,17452434,709542,1737019,197191,796920,2678549,4417892,6309385,3606789,5750087,5693354,6587094,770742,
150.5,3827922,5475164,3808452,3430529,4133969,586278,3214556,3104981,3241078,3690177,9253877,8861326,14252052,12781565,12032289,1538315,490183,1473590,888906,1801354,12349439,13784679,21949554,18270839,8624548,4776844,4150869,4884821,5148139,5100928,3909022,4313865,4758617,3182457,5444207,15184713,15103639,10330012,15032376,16951704,647128,1707261,188769,703015,2357072,4271812,6343240,3716928,5343449,5317702,6434684,758341,
151.5,3895419,5288242,3661332,3234124,4046578,539306,3200483,2844935,3195359,3818730,9171864,8685448,14189924,12738515,12286798,1554348,464411,1471175,879701,1759414,12107390,13283649,21491248,17577546,8473232,4297002,4060988,5018403,5108080,4672433,3575210,4205545,4676559,3088360,5412302,14802970,14711181,10043659,14891127,16423817,590515,1678724,182195,620023,2050596,4124082,6392967,3839380,4951327,4947376,6284480,744259,
152.5,3992204,5112251,3547137,3059299,3966708,503809,3179578,2586439,3151507,3938920,9108302,8537839,14095684,12687953,12554442,1574713,444244,1478022,879054,1712514,11850769,12789934,20850472,16848441,8346112,3846800,3975147,5139472,5065038,4282379,3277273,4099623,4594751,3006078,5349077,14449461,14326400,9787650,14721666,15874978,539486,1650787,177378,547320,1764904,3974526,6456917,3973133,4576824,4586709,6136802,728668,
153.5,4117411,4946448,3463112,2904728,3893220,478396,3151445,2335205,3109716,4048562,9060192,8417583,13968425,12625537,12827273,1599212,429105,1493470,885983,1660705,11581745,12304494,20046530,16092901,8241028,3431866,3893240,5242295,5016295,3931304,3013602,3996267,4513079,2935129,5255622,14127074,13951948,9561334,14523046,15311303,493756,1622871,174263,484153,1503853,3823072,6532930,4116944,4222338,4239391,5991988,711838,
154.5,4270085,4789994,3406769,2769060,3825028,462036,3115892,2095865,3070220,4145621,9024540,8323602,13808048,12547101,13096279,1627644,418530,1516846,899505,1604267,11302671,11828182,19105303,15320236,8155837,3055520,3815265,5321417,4959238,3618661,2782111,3895693,4431526,2875008,5134214,13837897,13589946,9363890,14295148,14738683,452997,1594448,172830,429697,1269547,3669750,6618313,4269298,3889586,3908414,5850365,694114,
155.5,4449042,4641975,3375845,2650958,3761112,454023,3072929,1871892,3033287,4228261,8998381,8254665,13615257,12448777,13351517,1659789,412157,1547455,918584,1543685,11016009,11361762,18057139,14539409,8088422,2719068,3741307,5371971,4891445,3343085,2580448,3798154,4350162,2825196,4988125,13583295,13241995,9194368,14038678,14162658,416854,1565057,173092,383107,1062602,3514698,6709823,4428382,3579650,3596050,5712232,675879,
156.5,4652717,4501422,3368256,2549130,3700512,453963,3022758,1665617,2999204,4294891,8978806,8209384,13391499,12327110,13582349,1695397,409716,1584552,942091,1479618,10724264,10905930,16934544,13758792,8036681,2422180,3671512,5389971,4810772,3102644,2406158,3703925,4269136,2785163,4821376,13363981,12909204,9051732,13755129,13588325,384963,1534308,175102,343550,882458,3358156,6803672,4592061,3293040,3303873,5577832,657516,
157.5,4879005,4367334,3382026,2462347,3642341,461747,2965766,1478333,2968270,4344199,8962995,8186210,13138890,12179178,13777769,1734172,411017,1627330,968767,1412861,10429922,10461327,15769930,12985984,7998534,2163310,3606075,5372574,4715443,2895056,2256810,3613299,4188662,2754366,4638448,13180086,12592229,8934886,13446704,13020273,356958,1501893,178950,310236,727693,3200464,6895553,4757869,3029777,3032809,5447334,639367,
158.5,5125118,4238696,3415218,2389458,3585782,477544,2902499,1310444,2940784,4375185,8948245,8183419,12860111,12002696,13926836,1775754,415945,1674905,997208,1344293,10135386,10028547,14593669,12227679,7971912,1940088,3545217,5318276,4604139,2717869,2130080,3526568,4109009,2732257,4444003,13031213,12291314,8842706,13116221,12462546,332490,1467592,184766,282440,596308,3042055,6980699,4923021,2789472,2783213,5320818,621708,
159.5,5387439,4114502,3465856,2329388,3530094,501793,2833640,1161650,2917037,4387170,8932005,8199101,12558288,11796105,14019175,1819700,424448,1726313,1025880,1274837,9842926,9608144,13432604,11489594,7954758,1749668,3489163,5227015,4476075,2568596,2023806,3444020,4030483,2718274,4242624,12916487,12006339,8774058,12766994,11918623,311223,1431277,192728,259514,485971,2883443,7053976,5084434,2571413,2554948,5198272,604732,
160.5,5661424,3993772,3531842,2281145,3474610,535194,2759980,1031125,2897306,4379813,8911907,8231141,12236862,11558634,14045529,1865468,436532,1780502,1053152,1205410,9554640,9200628,12309094,10776436,7945028,1589011,3438131,5100171,4331053,2444812,1936024,3365926,3953415,2711839,4038597,12834582,11736869,8727816,12402698,11391425,292848,1392909,203063,240890,394216,2725214,7110020,5238782,2374648,2347483,5079592,588550,
161.5,5941542,3875572,3610883,2243810,3418742,578708,2682389,917688,2881843,4353108,8885796,8277207,11899462,11290338,13998311,1912398,452251,1836347,1077360,1136885,9272414,8806470,11240578,10091922,7940692,1455104,3392313,4940468,4169499,2344214,1864973,3292535,3878146,2712360,3835749,12783749,11482199,8702872,12027232,10883337,277080,1352541,216051,226087,318588,2568011,7143415,5382556,2198053,2159980,4964597,573196,
162.5,6221277,3759032,3700431,2216536,3361980,633547,2601785,819952,2870871,4307374,8851763,8334740,11549783,10992099,13872113,1959694,471705,1892659,1096899,1070056,8997907,8426089,10239595,9438831,7939737,1345109,3351856,4751771,3992456,2264655,1809102,3224065,3805012,2719223,3637349,12761816,11241407,8698146,11644583,10396243,263659,1310305,232031,214708,256752,2412517,7148907,5512163,2040402,1991380,4853041,558650,
163.5,6493217,3643368,3797625,2198535,3303889,701158,2519104,736442,2864576,4243240,8808165,8400948,11191467,10665598,13664113,2006412,495029,1948210,1110322,1005619,8732535,8059857,9314147,8819070,7940179,1256469,3316856,4538823,3801556,2204143,1767053,3160703,3734334,2731788,3446054,12766198,11013392,8712592,11258698,9931564,252355,1266408,251404,206437,206553,2259438,7121648,5624031,1900421,1840476,4744644,544854,
164.5,6749222,3527893,3899273,2189072,3244106,783192,2435272,665690,2863103,4161624,8753646,8472817,10828016,10313248,13374338,2051454,522389,2001760,1116454,944153,8477465,7708083,8468296,8233776,7940071,1186958,3287335,4306933,3598946,2160839,1737650,3102597,3666405,2749393,3263908,12793892,10796922,8745195,10873370,9490312,242960,1221118,274635,201037,166060,2109486,7057451,5714729,1776829,1705982,4639107,531731,
165.5,6980695,3412037,4001850,2187451,3182341,881456,2351185,606298,2866548,4063698,8687150,8547125,10462708,9938106,13005750,2093564,553970,2052089,1114481,886113,8233618,7371017,7702868,7683411,7937520,1134712,3263238,4061657,3387197,2133017,1719875,3049858,3601481,2771343,3092374,12841469,10590671,8794979,10492145,9073135,235290,1174753,302255,198342,133576,1963357,6953048,5781108,1668380,1586578,4536138,519208,
166.5,7178934,3295358,4101534,2193012,3118372,997825,2267684,556983,2874951,3950865,8607929,8620477,10098542,9543752,12564129,2131341,589968,2098028,1104019,831837,8001681,7048838,7016194,7167865,7930702,1098233,3244415,3808493,3169174,2119038,1712850,3002554,3539775,2796918,2932394,12905080,10393258,8860998,10118245,8680374,229186,1127664,334852,198259,107642,1821717,6806320,5820423,1573883,1480958,4435470,507218,
167.5,7335555,3177551,4194281,2205118,3052038,1134135,2185543,516608,2888291,3824710,8515538,8689352,9738198,9134160,12057773,2163255,630576,2138492,1085147,781549,7782115,6741655,6404795,6686566,7917887,1076378,3230608,3552622,2947911,2117294,1715806,2960713,3481449,2825373,2784455,12980459,10203278,8942333,9754520,8312105,224504,1080219,373067,200761,87018,1685183,6616482,5830468,1492228,1387857,4336880,495709,
168.5,7442960,3058454,4275937,2223146,2983237,1292024,2105457,484189,2906477,3686969,8409829,8750167,9384013,8713547,11497022,2187688,675973,2172506,1058389,735370,7575178,6449503,5863997,6238567,7897453,1068341,3221446,3298705,2726462,2126172,1728068,2924322,3426606,2855940,2648671,13062948,10019342,9038089,9403412,7968192,221121,1032796,417572,205885,70671,1554307,6384211,5809682,1422392,1306070,4240189,484647,
169.5,7494810,2938050,4342380,2246487,2911921,1472742,2028032,458904,2929341,3539479,8290938,8799356,9037976,8286234,10893672,2202980,726302,2199226,1024661,693337,7380935,6172343,5388435,5822639,7867916,1073628,3216428,3050743,2507773,2144000,1749024,2893324,3375296,2887835,2524855,13147534,9840096,9147380,9066946,7648321,218925,985761,469050,213729,57747,1429566,6111685,5757233,1363451,1234471,4145278,474012,
170.5,7486457,2816463,4389699,2274536,2838092,1676923,1953787,440091,2956628,3384142,8159262,8833464,8701738,7856499,10260315,2207498,781654,2217958,985185,655416,7199286,5910068,4972447,5437348,7827948,1092030,3214912,2812004,2294562,2169012,1778104,2867620,3327502,2920269,2412591,13228912,9664256,9269325,8746729,7352047,217821,939464,528152,224450,47550,1311346,5802540,5673076,1314580,1172018,4052075,463794,
171.5,7415292,2693950,4414377,2306692,2761797,1904337,1883151,427241,2987986,3222876,8015434,8849248,8376621,7428456,9609679,2199712,842041,2228156,941374,621517,7029979,5662500,4610374,5081122,7776402,1123591,3216112,2585008,2089222,2199313,1814760,2847070,3283148,2952455,2311293,13301568,9490626,9403028,8443971,7078817,217721,894225,595452,238259,39518,1199944,5461735,5557967,1275055,1117753,3960559,453994,
172.5,7280978,2570887,4413483,2342358,2683122,2153644,1816469,419998,3022960,3057578,7860296,8843783,8063647,7005944,8954017,2178287,907373,2229430,894722,591513,6872632,5429398,4296763,4752308,7712331,1168569,3219086,2371552,1893755,2232867,1858441,2831488,3242093,2983620,2220260,13359889,9318124,9547567,8159506,6828006,218547,850332,671383,255417,33202,1095559,5095332,5413447,1244250,1070806,3870740,444613,
173.5,7085525,2447753,4384846,2380945,2602192,2422174,1754002,418147,3060978,2890082,7694866,8814566,7763567,6592439,8304587,2142181,977427,2221528,846697,565247,6726752,5210464,4026505,4449219,7635003,1227389,3222735,2172779,1709730,2267500,1908575,2820643,3204136,3013023,2138714,13398299,9145789,9701976,7893830,6598935,220228,808031,756167,276226,28245,998291,4710209,5241785,1221628,1030386,3782659,435659,
174.5,6833206,2325105,4327191,2421868,2519166,2705777,1695940,421612,3101349,2722130,7520303,8759616,7476885,6190988,7671264,2090733,1051819,2204331,798656,542549,6591747,5005351,3794913,4170170,7543921,1300588,3225810,1989265,1538274,2300923,1964551,2814259,3169012,3039959,2065839,13411408,8972804,9865223,7647136,6390896,222696,767529,849729,301019,24367,908151,4313728,5045882,1206741,995782,3696363,427135,
175.5,6530317,2203561,4240238,2464562,2434236,2998762,1642405,430451,3143254,2555334,7337875,8677553,7203900,5804174,7062290,2023751,1129978,2177830,751776,523241,6466948,4813666,3597754,3913509,7438824,1388740,3226917,1821111,1380082,2330785,2025699,2812011,3136396,3063783,2000803,13394186,8798498,10036193,7419350,6203162,225890,728989,951618,330141,21349,825060,3913379,4829153,1199217,966353,3611901,419041,
176.5,6184795,2083770,4124728,2508479,2347622,3293974,1593463,444856,3185742,2391159,7148927,8567663,6944728,5434096,6484155,1941575,1211113,2142113,707030,507147,6351616,4634983,3431256,3677637,7319695,1492368,3224540,1668043,1235460,2354744,2091283,2813526,3105908,3083915,1942780,13342136,8622354,10213664,7210172,6035002,229750,692534,1060924,363930,19024,748865,3516426,4595391,1198754,941524,3529307,411372,
177.5,5805738,1966387,3982400,2553099,2259571,3583022,1549129,465147,3227734,2230901,6954847,8429929,6699336,5082373,5941604,1845107,1294200,2097348,665166,494100,6244960,4468846,3292093,3461025,7186761,1611835,3217073,1529508,1104363,2370563,2160485,2818377,3077111,3099855,1890965,13251462,8444008,10396283,7019107,5885689,234215,658250,1176215,402683,17262,679341,3129599,4348610,1205109,920781,3448591,404112,
178.5,5402880,1852053,3815894,2597938,2170355,3856651,1509373,491770,3268028,2075673,6757038,8265041,6467569,4750163,5437742,1735818,1377968,2043769,626721,483939,6146147,4314779,3177356,3262227,7040480,1747213,3202858,1404756,986463,2376218,2232403,2826085,3049520,3111192,1844585,13119230,8263245,10582548,6845506,5754507,239227,626188,1295496,446624,15966,616211,2758817,4092897,1218089,903662,3369738,397235,
179.5,4986049,1741368,3628605,2642549,2080272,4105260,1474134,525292,3305311,1926405,6556891,8074373,6249173,4438197,4974210,1615703,1460898,1981674,592043,476519,6054311,4172294,3084515,3079879,6881534,1898134,3180243,1292906,881201,2370008,2306045,2836118,3022604,3117606,1802907,12943500,8079996,10770786,6688584,5640750,244729,596367,1416213,495855,15069,559151,2409002,3832265,1237538,889757,3292696,390704,
180.5,4564674,1634880,3424498,2686533,1989636,4319503,1443318,566393,3338179,1783838,6355761,7859922,6043816,4146825,4551401,1487199,1541244,1911416,561319,471708,5968565,4040894,3011381,2912714,6710805,2063638,3147646,1193015,787857,2350661,2380336,2847891,2995794,3118878,1765244,12723414,7894321,10959136,6547457,5543728,250662,568781,1535292,550311,14521,507808,2083952,3570528,1263322,878702,3217386,384473,
181.5,4147369,1533062,3207887,2729542,1898780,4490936,1416808,615846,3365164,1648531,6154946,7624234,5851107,3876059,4168702,1353076,1617066,1833417,534610,469386,5888008,3920079,2956071,2759550,6529355,2242010,3103632,1104113,705600,2317419,2454124,2860763,2968491,3114887,1730962,12459257,7706401,11145536,6421155,5462762,256964,543402,1649246,609704,14295,461807,1786301,3311187,1295321,870175,3143702,378490,
182.5,3741619,1436310,2983220,2771273,1808052,4612628,1394465,674499,3384767,1520874,5955674,7370300,5670610,3625632,3824722,1216283,1686287,1748173,511877,469448,5811739,3809356,2916960,2619299,6338400,2430652,3046991,1025247,633539,2270093,2526193,2874049,2940075,3105608,1699482,12152450,7516519,11327715,6308645,5397179,263576,520185,1754322,673476,14379,420764,1517546,3057353,1333407,863894,3071516,372705,
183.5,3353579,1344932,2754865,2811478,1717809,4679672,1376134,743229,3395504,1401095,5759083,7101437,5501857,3395044,3517518,1079800,1746767,1656271,493018,471796,5738860,3708237,2892651,2490959,6139277,2625979,2976822,955500,570764,2209081,2595283,2887016,2909917,3091106,1670284,11805509,7325048,11503197,6208846,5346310,270435,499072,1846700,740753,14780,384294,1278142,2811687,1377431,859618,3000689,367073,
184.5,2987987,1259151,2526928,2849949,1628412,4689544,1361641,822892,3395950,1289282,5566217,6821166,5344360,3183616,3244784,946468,1796401,1558407,477880,476343,5668488,3616243,2881941,2373612,5933416,2823391,2892606,894011,516382,2135344,2660116,2898895,2877388,3071529,1642906,11421940,7132427,11669308,6120641,5309477,277478,479994,1922732,810318,15518,352019,1067628,2576373,1427205,857141,2931077,361560,
185.5,2648177,1179104,2303097,2886521,1540222,4642254,1350798,914251,3384797,1185398,5378019,6533084,5197614,2990534,3004011,818851,1833222,1455405,466282,483009,5599767,3532912,2883786,2266420,5722303,3017324,2794267,839985,469538,2050340,2719420,2908886,2841879,3047097,1616949,11006099,6939146,11823194,6042891,5285991,284639,462878,1979179,880608,16635,323576,884799,2353111,1482483,856294,2862541,356142,
186.5,2336173,1104847,2086543,2921058,1453596,4540301,1343402,1017878,3360906,1089300,5195324,6240749,5061106,2814891,2792621,699110,1855523,1348228,458025,491714,5531871,3457792,2897274,2168619,5507453,3201407,2682218,792698,429435,1955928,2771962,2916177,2802812,3018092,1592076,10563020,6745729,11961859,5974443,5275135,291852,447645,2013453,949733,18194,298622,727879,2143134,1542942,856946,2794954,350811,
187.5,2052843,1036367,1879848,2953444,1368876,4388419,1339232,1134046,3323366,1000756,5018860,5947572,4934316,2655722,2608064,588921,1861960,1237988,452899,502377,5464016,3390449,2921599,2079517,5290374,3368733,2557371,751500,395346,1854243,2816585,2919949,2759657,2984842,1568008,10098212,6552717,12082204,5914140,5276156,299048,434216,2023812,1015534,20282,276835,594695,1947237,1608162,859000,2728206,345563,
188.5,1798082,973587,1684993,2983571,1286390,4193166,1338049,1262592,3271542,919469,4849250,5656728,4816725,2512037,2447890,489434,1851662,1125941,450680,514916,5395469,3330466,2956037,1998486,5072542,3512229,2421129,715813,366620,1747568,2852238,2919402,2711950,2947713,1544525,9617455,6360651,12181085,5860830,5288250,306158,422512,2009499,1075678,23015,257918,482847,1765825,1677612,862395,2662212,340400,
189.5,1571020,916380,1503364,3011324,1206439,3962411,1339594,1402784,3205120,845086,4687016,5371088,4707811,2382841,2309794,401268,1824302,1013470,451132,529236,5325556,3277439,2999924,1924961,4855375,3625114,2275335,685130,342685,1638198,2878012,2913762,2659305,2907092,1521462,9126589,6170063,12255383,5813378,5310552,313109,412457,1970809,1127777,26547,241604,389842,1598962,1750628,867106,2596913,335324,
190.5,1370210,864580,1335798,3036569,1129299,3704757,1343583,1553181,3124138,777219,4532581,5093170,4607053,2267161,2191652,324549,1780145,902054,454002,545235,5253671,3230980,3052636,1858431,4640208,3701395,2122194,659010,323049,1528325,2893169,2902312,2601434,2863375,1498702,8631322,5981460,12302082,5770668,5342121,319826,403977,1909070,1169544,31078,227651,313214,1446430,1826409,873140,2532276,330332,
191.5,1193818,817988,1182648,3059139,1055212,3428988,1349708,1711516,3029007,715459,4386280,4825111,4513930,2164052,2091529,258975,1720058,793222,459010,562791,5179280,3190714,3113569,1798439,4428278,3736355,1964175,637077,307294,1419940,2897168,2884403,2538157,2816960,1476174,8137065,5795316,12318360,5731623,5381928,326234,397001,1826548,1198945,36857,215845,250612,1307782,1904003,880538,2468302,325411,
192.5,1039778,776387,1043854,3078818,984382,3143568,1357634,1874628,2920510,659382,4248364,4568658,4427919,2072618,2007683,203899,1645474,688491,465846,581767,5101930,3156277,3182124,1744578,4220707,3726972,1803885,619011,295080,1314765,2889686,2859480,2469411,2768232,1453845,7648783,5612069,12301679,5695205,5428847,332251,391464,1726275,1214365,44201,206001,199862,1182397,1982306,889375,2405014,320544,
193.5,905921,739552,919025,3095333,916975,2856233,1366997,2038442,2799787,608566,4119009,4325174,4348500,1992011,1938559,158425,1558324,589298,474159,602002,5021250,3127317,3257690,1696482,4018496,3672214,1643945,604549,286136,1214213,2870628,2827097,2395262,2717557,1431715,7170899,5432112,12249881,5660434,5481648,337796,387301,1611838,1214740,53494,197957,159003,1069532,2060071,899752,2342466,315706,
194.5,790078,707253,807519,3108344,853117,2573698,1377398,2198050,2668300,562593,3998325,4095663,4275147,1921440,1882780,121499,1460927,496924,483551,623312,4936962,3103485,3339628,1653831,3822515,3573176,1486863,593476,280256,1119372,2840132,2786936,2315903,2665277,1409805,6707215,5255789,12161279,5626393,5538988,342784,384455,1487135,1199653,65202,191580,126308,968359,2135920,911803,2280728,310868,
195.5,690154,679264,708514,3117432,792893,2301487,1388413,2347876,2527786,521059,3886361,3880793,4207337,1860169,1839129,91998,1355861,412426,493579,645488,4848873,3084440,3427260,1616340,3633502,3433029,1334920,585627,277302,1031014,2798567,2738821,2231655,2611701,1388156,6260882,5083400,12034741,5592238,5599412,347127,382868,1356130,1169390,79872,186758,100284,878009,2208367,925687,2219888,305998,
196.5,604180,655373,621074,3122104,736347,2043866,1399585,2481954,2380191,483577,3783120,3680939,4144540,1807524,1806528,68797,1245826,336582,503754,668295,4756881,3069839,3519857,1583763,3452065,3256779,1190082,580880,277194,949624,2746514,2682727,2142963,2557105,1366819,5834390,4915196,11869758,5557212,5661360,350736,382487,1222634,1124923,98130,183403,79659,797601,2275850,941587,2160043,301064,
197.5,530343,635377,544202,3121787,683484,1803869,1410432,2594288,2227600,449780,3688558,3496223,4086228,1762881,1784026,50828,1133493,269844,513548,691472,4660975,3059342,3616630,1555885,3278686,3050887,1053934,579153,279910,875433,2684753,2618784,2050380,2501729,1345850,5429591,4751380,11666494,5520651,5723173,353520,383261,1090113,1067851,120666,181449,63373,726262,2336773,959708,2101297,296034,
198.5,467003,619096,476885,3115840,634277,1583401,1420448,2679284,2072155,419325,3602597,3326550,4031869,1725673,1770770,37114,1021383,212332,522408,714734,4561224,3052599,3716717,1532524,3113727,2822772,927648,580405,285485,808469,2614227,2547281,1954559,2445776,1325301,5047739,4592117,11425820,5481988,5783109,355388,385136,961557,1000278,148210,180850,50547,663152,2389550,980276,2043752,290880,
199.5,412700,606366,418131,3103559,588662,1383380,1429113,2732201,1915983,391892,3525129,3171656,3980931,1695379,1765992,26796,911754,163837,529777,737776,4457781,3049258,3819184,1513528,2957437,2580272,811980,584631,294008,748596,2536016,2468661,1856229,2389415,1305220,4689548,4437526,11149310,5440764,5839368,356253,388061,839390,924665,181487,181578,40465,607471,2432665,1003530,1987506,285579,
200.5,366142,597046,366987,3084199,546553,1203907,1435898,2749573,1761116,367184,3456021,3031141,3932884,1671523,1768987,19137,806523,123861,535117,760275,4350870,3048954,3923018,1498771,2809966,2331116,707286,591863,305619,695560,2451296,2383506,1756177,2332779,1285643,4355258,4287696,10839224,5396626,5890118,356029,391980,725441,843654,221155,183625,32548,558475,2464724,1029726,1932656,280114,
201.5,326206,591014,322563,3056997,507835,1044445,1440279,2729554,1609433,344930,3395121,2904504,3887200,1653666,1779090,13527,707221,91670,537938,781894,4240781,3051308,4027126,1488153,2671373,2082463,613575,602165,320508,649029,2361303,2292527,1655225,2275971,1266590,4044704,4142680,10498454,5349333,5933536,354641,396835,620955,759893,267730,186998,26333,515476,2484514,1059124,1879288,274477,
202.5,291915,588171,284038,3021201,472377,903986,1441744,2672122,1462600,324881,3342259,2791175,3843358,1641405,1795662,9468,614974,66370,537829,802294,4127860,3055930,4130340,1481601,2541637,1840547,530554,615633,338909,608626,2267296,2196543,1554204,2219065,1248068,3757389,4002505,10130451,5298750,5967838,352019,402563,526633,675880,321489,191720,21454,477844,2491053,1091991,1827484,268676,
203.5,262428,588436,250664,2976102,440034,781205,1439812,2579131,1322035,306810,3297249,2690536,3800849,1634362,1818070,6565,530514,46973,534483,821133,4012500,3062410,4231422,1479063,2420668,1610443,457700,632396,361096,573958,2170519,2096457,1453932,2162112,1230062,3492555,3867176,9739129,5244844,5991335,348109,409095,442711,593833,382380,197829,17618,445013,2483640,1128588,1777320,262727,
204.5,237026,591744,221772,2921080,410649,674587,1434041,2454181,1188885,290511,3259891,2601945,3759175,1632181,1845673,4513,454212,32479,527722,838081,3895133,3070322,4329074,1480510,2308324,1395961,394319,652610,387375,544633,2072172,1993232,1355192,2105144,1212540,3249242,3736676,9328749,5187682,6002469,342872,416353,369033,515597,449932,205376,14599,416474,2461891,1169166,1728860,256664,
205.5,215093,598046,196764,2855638,384062,582533,1424048,2302333,1064013,275800,3229972,2524750,3717861,1634521,1877804,3077,386128,21927,517509,852823,3776215,3079221,4421952,1485935,2204413,1199655,339610,676457,418071,520283,1973379,1887861,1258710,2048175,1195450,3026350,3610975,8903797,5127418,5999866,336286,424249,305151,442595,523186,214422,12219,391773,2425760,1213954,1682162,250529,
206.5,196108,607302,175115,2779452,360109,503444,1409518,2129696,948007,262507,3207259,2458299,3676454,1641052,1913760,2082,326064,14446,503953,865068,3656219,3088643,4508684,1495350,2108711,1022921,292717,704143,453512,500570,1875172,1781346,1165144,1991212,1178721,2822684,3490029,8468858,5064284,5982376,328355,432686,250397,375815,600668,225038,10340,370512,2375549,1263147,1637270,244373,
207.5,179623,619479,156364,2692406,338628,435774,1390222,1942947,841193,250482,3191502,2401952,3634532,1651445,1952790,1399,273628,9285,487304,874561,3535626,3098109,4587889,1508784,2020967,866157,252777,735891,494005,485192,1778469,1674667,1075066,1934253,1162266,2637002,3373786,8028483,4998580,5949112,319105,441554,203972,315832,680415,237302,8854,352339,2311904,1316889,1594215,238250,
208.5,165263,634544,140107,2594630,319460,378075,1366021,1748833,743663,239589,3182424,2355080,3591711,1665372,1994089,935,228288,5819,467933,881084,3414914,3107125,4658205,1526287,1940914,728955,218947,771935,539813,473893,1684067,1568759,988953,1877293,1145982,2468044,3262185,7587076,4930657,5899484,308588,450732,165002,262855,760047,251294,7678,336948,2235788,1375257,1553012,232210,
209.5,152707,652460,125998,2486531,302454,329018,1336881,1553717,655303,229708,3179719,2317070,3547645,1682497,2036794,621,189426,3555,446306,884464,3294550,3115185,4718313,1547920,1868275,610304,190437,812516,591112,466459,1592637,1464496,907189,1820332,1129753,2314562,3155165,7148787,4860909,5833218,296884,460084,132597,216789,836906,267094,6748,324076,2148451,1438235,1513657,226302,
210.5,141684,673178,113733,2368802,287466,287405,1302874,1363217,575832,220731,3183041,2287324,3502036,1702470,2079982,410,156383,2118,422957,884582,3174982,3121776,4766966,1573763,1802770,508786,166521,857862,647956,462720,1504722,1362668,830055,1763371,1113453,2175342,3052657,6717422,4789756,5750369,284099,469462,105887,177304,908237,284780,6014,313494,2051378,1505692,1476130,220563,
211.5,131962,696627,103054,2242428,274365,252175,1264180,1181948,504834,212561,3192000,2265253,3454638,1724929,2122675,270,128489,1229,398445,881368,3056638,3126384,4803023,1603906,1744123,422740,146547,908185,710223,462547,1420740,1263970,757739,1706423,1096951,2049216,2954594,6296378,4717632,5651322,270363,478704,84051,143906,971389,304416,5439,305007,1946231,1577351,1440391,215026,
212.5,123347,722712,93738,2108676,263026,222396,1221085,1013393,441797,205113,3206146,2250275,3405256,1749488,2163848,177,105096,695,373331,874811,2939911,3128502,4825472,1638449,1692065,350404,129942,963655,777569,465846,1340997,1168995,690339,1649511,1080113,1935078,2860907,5888591,4644973,5536780,255830,487639,66338,115997,1024025,326051,4995,298450,1834791,1652761,1406388,209713,
213.5,115672,751300,85591,1969058,253340,197262,1173969,859890,386142,198313,3224964,2241808,3353755,1775741,2202441,116,85595,383,348141,864954,2825165,3127632,4833468,1677499,1646338,290023,116207,1024382,849374,472556,1265691,1078229,627868,1592669,1062807,1831887,2771529,5496515,4572205,5407738,240670,496083,52073,92933,1064298,349714,4658,293683,1718891,1731262,1374050,204639,
214.5,108796,782214,78451,1825291,245208,176079,1123304,722705,337254,192096,3247858,2239264,3300057,1803258,2237379,75,69426,206,323347,851894,2712727,3123299,4826350,1721171,1606700,239920,104919,1090395,924698,482636,1194924,992047,570269,1535947,1044906,1738669,2686392,5122110,4499734,5265452,225067,503847,40664,74063,1090988,375400,4413,290590,1600354,1811958,1343295,199812,
