particle_size,ratio_50std.50GFP_125_yes_10200,ratio_50std.50GFP_125_yes_10201,ratio_50std.50GFP_125_yes_10202,ratio_50std.50GFP_125_no_100,ratio_50std.50GFP_125_no_101,ratio_50std.50GFP_125_no_102
212.5,481096,54867,0,0,145288,111710
213.5,549487,52355,0,0,173048,129313
214.5,611858,49974,0,0,199041,148549
215.5,663450,47724,0,0,220506,168851
216.5,699824,45605,0,0,234726,189351
217.5,717493,43616,0,0,239572,208879
218.5,714473,41753,0,0,233997,226015
219.5,690640,40015,0,0,218349,239199
220.5,647802,38395,0,0,194368,246920
221.5,589459,36888,0,0,164848,247942
222.5,520297,35489,0,0,133068,241546
223.5,445528,34191,0,0,102147,227718
224.5,370199,32987,0,0,74516,207243
225.5,298619,31870,0,0,51634,181646
226.5,233983,30833,0,0,33973,152988
227.5,178227,29867,0,0,21222,123552
228.5,132098,28967,0,0,12585,95481
229.5,95379,28123,0,0,7087,70474
230.5,67175,27328,0,0,3790,49591
231.5,46219,26574,0,0,1925,33214
232.5,31118,25855,0,0,930,21139
233.5,20539,25162,0,0,427,12767
234.5,13318,24488,0,0,187,7307
235.5,8501,23827,0,0,78,3958
236.5,5355,23171,0,0,31,2027
237.5,3338,22514,0,0,12,981
238.5,2063,21851,0,0,4,448
239.5,1269,21177,0,0,1,193
240.5,778,20487,0,0,0,78
241.5,478,19777,0,0,0,30
242.5,294,19045,0,0,0,11
243.5,182,18289,0,0,0,4
244.5,114,17508,0,0,0,1
245.5,73,16702,0,0,0,0
246.5,47,15873,0,0,0,0
247.5,31,15023,0,0,0,0
248.5,21,14155,0,0,0,0
249.5,14,13274,0,0,0,0
250.5,10,12386,0,0,0,0
251.5,7,11496,0,0,0,0
252.5,6,10610,0,0,0,0
253.5,4,9735,0,0,0,0
254.5,4,8877,0,0,0,0
255.5,3,8044,0,0,0,0
256.5,3,7241,0,0,0,0
257.5,2,6474,0,0,0,0
258.5,2,5749,0,0,0,0
259.5,2,5067,0,0,0,0
260.5,2,4434,0,0,0,0
261.5,3,3851,0,0,0,0
262.5,3,3319,0,0,0,0
263.5,3,2839,0,0,0,0
264.5,4,2409,0,0,0,0
265.5,5,2027,0,0,0,0
266.5,7,1693,0,0,0,0
267.5,9,1402,0,0,0,0
268.5,12,1151,0,0,0,0
269.5,17,937,0,0,0,0
270.5,25,757,0,0,0,0
271.5,38,606,0,0,0,0
272.5,57,481,0,0,0,0
273.5,88,379,0,0,0,0
274.5,137,296,0,0,0,0
275.5,215,229,0,0,0,0
276.5,341,176,0,0,0,0
277.5,540,134,0,0,0,0
278.5,857,101,0,0,0,0
279.5,1354,75,0,0,0,0
280.5,2127,56,0,0,0,0
281.5,3313,41,0,0,0,0
282.5,5099,30,0,0,0,0
283.5,7737,22,0,0,0,0
284.5,11546,16,0,0,0,0
285.5,16905,11,0,0,0,0
286.5,24229,8,0,0,0,0
287.5,33920,5,0,0,0,0
288.5,46296,4,0,0,0,0
289.5,61486,3,0,0,0,0
290.5,79324,2,0,0,0,0
291.5,99252,1,0,0,0,0
292.5,120264,0,0,0,0,0
293.5,140931,0,0,0,0,0
294.5,159523,0,0,0,0,0
295.5,174218,0,0,0,0,0
296.5,183393,0,0,0,0,0
297.5,185909,0,0,0,0,0
298.5,181343,0,0,0,0,0
299.5,170092,0,0,0,0,0
300.5,153315,0,0,0,0,0
301.5,132735,0,0,0,0,0
302.5,110331,0,0,0,0,0
303.5,88018,0,0,0,0,0
304.5,67375,0,0,0,0,0
305.5,49476,0,0,0,0,0
306.5,34851,0,0,0,0,0
307.5,23546,0,0,0,0,0
308.5,15259,0,0,0,0,0
309.5,9486,0,0,0,0,0
310.5,5657,0,0,0,0,0
311.5,3238,0,0,0,0,0
312.5,1778,0,0,0,0,0
313.5,938,0,0,0,0,0
314.5,475,0,0,0,0,0
315.5,231,0,0,0,0,0
316.5,108,0,0,0,0,0
317.5,49,0,0,0,0,0
318.5,21,0,0,0,0,0
319.5,9,0,0,0,0,0
320.5,4,0,0,0,0,0
321.5,1,0,0,0,0,0
322.5,0,0,0,0,0,0
323.5,0,0,0,0,0,0
324.5,0,0,0,0,0,0
325.5,0,0,0,0,0,0
326.5,0,0,0,0,0,0
327.5,0,0,0,0,0,0
328.5,0,0,0,0,0,0
329.5,0,0,0,0,0,0
330.5,0,0,0,0,0,0
331.5,0,0,0,0,0,0
332.5,0,0,0,0,0,0
333.5,0,0,0,0,0,0
334.5,0,0,0,0,0,0
335.5,0,0,0,0,0,0
336.5,0,0,0,0,0,0
337.5,0,0,0,0,0,0
338.5,0,0,0,0,0,0
339.5,0,0,0,0,0,0
340.5,0,0,0,0,0,0
341.5,0,0,0,0,0,0
342.5,0,0,0,0,0,0
343.5,0,0,0,0,0,0
344.5,0,0,0,0,0,0
345.5,0,0,0,0,0,0
346.5,0,0,0,0,0,0
347.5,0,0,0,0,0,0
348.5,0,0,0,0,0,0
349.5,0,0,0,0,0,0
350.5,0,0,0,0,0,0
351.5,0,0,0,0,0,0
352.5,0,0,0,0,0,0
353.5,0,0,0,0,0,0
354.5,0,0,0,0,0,0
355.5,0,0,0,0,0,0
356.5,0,0,0,0,0,0
357.5,0,0,0,0,0,0
358.5,0,0,0,0,0,0
359.5,0,0,0,0,0,0
360.5,0,0,0,0,0,0
361.5,0,0,0,0,0,0
362.5,0,0,0,0,0,0
363.5,0,0,0,0,0,0
364.5,0,0,0,0,0,0
365.5,0,0,0,0,0,0
366.5,0,0,0,0,0,0
367.5,0,0,0,0,0,0
368.5,0,0,0,0,0,0
369.5,0,0,0,0,0,0
370.5,0,0,0,0,0,0
371.5,0,0,0,0,0,0
372.5,0,0,0,0,0,0
373.5,0,0,0,0,0,0
374.5,0,0,0,0,0,0
375.5,0,0,0,0,0,0
376.5,0,0,0,0,0,0
377.5,0,0,0,0,0,0
378.5,0,0,0,0,0,0
379.5,0,0,0,0,0,0
380.5,0,0,0,0,0,0
381.5,0,0,0,0,0,0
382.5,0,0,0,0,0,0
383.5,0,0,0,0,0,0
384.5,0,0,0,0,0,0
385.5,0,0,0,0,0,0
386.5,0,0,0,0,0,0
387.5,0,0,0,0,0,0
388.5,0,0,0,0,0,0
389.5,0,0,0,0,0,0
390.5,0,0,0,0,0,0
391.5,0,0,0,0,0,0
392.5,0,0,0,0,0,0
393.5,0,0,0,0,0,0
394.5,0,0,0,0,0,0
395.5,0,0,0,0,0,0
396.5,0,0,0,0,0,0
397.5,0,0,0,0,0,0
398.5,0,0,0,0,0,0
399.5,0,0,0,0,0,0
400.5,0,0,0,0,0,0
401.5,0,0,0,0,0,0
402.5,0,0,0,0,0,0
403.5,0,0,0,0,0,0
404.5,0,0,0,0,0,0
405.5,0,0,0,0,0,0
406.5,0,0,0,0,0,0
407.5,0,0,0,0,0,0
408.5,0,0,0,0,0,0
409.5,0,0,0,0,0,0
410.5,0,0,0,0,0,0
411.5,0,0,0,0,0,0
412.5,0,0,0,0,0,0
413.5,0,0,0,0,0,0
414.5,0,0,0,0,0,0
415.5,0,0,0,0,0,0
416.5,0,0,0,0,0,0
417.5,0,0,0,0,0,0
418.5,0,0,0,0,0,0
419.5,0,0,0,0,0,0
420.5,0,0,0,0,0,0
421.5,0,0,0,0,0,0
422.5,0,0,0,0,0,0
423.5,0,0,0,0,0,0
424.5,0,0,0,0,0,0
425.5,0,0,0,0,0,0
426.5,0,0,0,0,0,0
427.5,0,0,0,0,0,0
428.5,0,0,0,0,0,0
429.5,0,0,0,0,0,0
430.5,0,0,0,0,0,0
431.5,0,0,0,0,0,0
432.5,0,0,0,0,0,0
433.5,0,0,0,0,0,0
434.5,0,0,0,0,0,0
435.5,0,0,0,0,0,0
436.5,0,0,0,0,0,0
437.5,0,0,0,0,0,0
438.5,0,0,0,0,0,0
439.5,0,0,0,0,0,0
440.5,0,0,0,0,0,0
441.5,0,0,0,0,0,0
442.5,0,0,0,0,0,0
443.5,0,0,0,0,0,0
444.5,0,0,0,0,0,0
445.5,0,0,0,0,0,0
446.5,0,0,0,0,0,0
447.5,0,0,0,0,0,0
448.5,0,0,0,0,0,0
449.5,0,0,0,0,0,0
450.5,0,0,0,0,0,0
451.5,0,0,0,0,0,0
452.5,0,0,0,0,0,0
453.5,0,0,0,0,0,0
454.5,0,0,0,0,0,0
455.5,0,0,0,0,0,0
456.5,0,0,0,0,0,0
457.5,0,0,0,0,0,0
458.5,0,0,0,0,0,0
459.5,0,0,0,0,0,0
460.5,0,0,0,0,0,0
461.5,0,0,0,0,0,0
462.5,0,0,0,0,0,0
463.5,0,0,0,0,0,0
464.5,0,0,0,0,0,0
465.5,0,0,0,0,0,0
466.5,0,0,0,0,0,0
467.5,0,0,0,0,0,0
468.5,0,0,0,0,0,0
469.5,0,0,0,0,0,0
470.5,0,0,0,0,0,0
471.5,0,0,0,0,0,0
472.5,0,0,0,0,0,0
473.5,0,0,0,0,0,0
474.5,0,0,0,0,0,0
475.5,0,0,0,0,0,0
476.5,0,0,0,0,0,0
477.5,0,0,0,0,0,0
478.5,0,0,0,0,0,0
479.5,0,0,0,0,0,0
480.5,0,0,0,0,0,0
481.5,0,0,0,0,0,0
482.5,0,0,0,0,0,0
483.5,0,0,0,0,0,0
484.5,0,0,0,0,0,0
485.5,0,0,0,0,0,0
486.5,0,0,0,0,0,0
487.5,0,0,0,0,0,0
488.5,0,0,0,0,0,0
489.5,0,0,0,0,0,0
490.5,0,0,0,0,0,0
491.5,0,0,0,0,0,0
492.5,0,0,0,0,0,0
493.5,0,0,0,0,0,0
494.5,0,0,0,0,0,0
495.5,0,0,0,0,0,0
496.5,0,0,0,0,0,0
497.5,0,0,0,0,0,0
498.5,0,0,0,0,0,0
499.5,0,0,0,0,0,0
500.5,0,0,0,0,0,0
501.5,0,0,0,0,0,0
502.5,0,0,0,0,0,0
503.5,0,0,0,0,0,0
504.5,0,0,0,0,0,0
505.5,0,0,0,0,0,0
506.5,0,0,0,0,0,0
507.5,0,0,0,0,0,0
508.5,0,0,0,0,0,0
509.5,0,0,0,0,0,0
510.5,0,0,0,0,0,0
511.5,0,0,0,0,0,0
512.5,0,0,0,0,0,0
513.5,0,0,0,0,0,0
514.5,0,0,0,0,0,0
515.5,0,0,0,0,0,0
516.5,0,0,0,0,0,0
517.5,0,0,0,0,0,0
518.5,0,0,0,0,0,0
519.5,0,0,0,0,0,0
520.5,0,0,0,0,0,0
521.5,0,0,0,0,0,0
522.5,0,0,0,0,0,0
523.5,0,0,0,0,0,0
524.5,0,0,0,0,0,0
525.5,0,0,0,0,0,0
526.5,0,0,0,0,0,0
527.5,0,0,0,0,0,0
528.5,0,0,0,0,0,0
529.5,0,0,0,0,0,0
530.5,0,0,0,0,0,0
531.5,0,0,0,0,0,0
532.5,0,0,0,0,0,0
533.5,0,0,0,0,0,0
534.5,0,0,0,0,0,0
535.5,0,0,0,0,0,0
536.5,0,0,0,0,0,0
537.5,0,0,0,0,0,0
538.5,0,0,0,0,0,0
539.5,0,0,0,0,0,0
540.5,0,0,0,0,0,0
541.5,0,0,0,0,0,0
542.5,0,0,0,0,0,0
543.5,0,0,0,0,0,0
544.5,0,0,0,0,0,0
545.5,0,0,0,0,0,0
546.5,0,0,0,0,0,0
547.5,0,0,0,0,0,0
548.5,0,0,0,0,0,0
549.5,0,0,0,0,0,0
550.5,0,0,0,0,0,0
551.5,0,0,0,0,0,0
552.5,0,0,0,0,0,0
553.5,0,0,0,0,0,0
554.5,0,0,0,0,0,0
555.5,0,0,0,0,0,0
556.5,0,0,0,0,0,0
557.5,0,0,0,0,0,0
558.5,0,0,0,0,0,0
559.5,0,0,0,0,0,0
560.5,0,0,0,0,0,0
561.5,0,0,0,0,0,0
562.5,0,0,0,0,0,0
563.5,0,0,0,0,0,0
564.5,0,0,0,0,0,0
565.5,0,0,0,0,0,0
566.5,0,0,0,0,0,0
567.5,0,0,0,0,0,0
568.5,0,0,0,0,0,0
569.5,0,0,0,0,0,0
570.5,0,0,0,0,0,0
571.5,0,0,0,0,0,0
572.5,0,0,0,0,0,0
573.5,0,0,0,0,0,0
574.5,0,0,0,0,0,0
575.5,0,0,0,0,0,0
576.5,0,0,0,0,0,0
577.5,0,0,0,0,0,0
578.5,0,0,0,0,0,0
579.5,0,0,0,0,0,0
580.5,0,0,0,0,0,0
581.5,0,0,0,0,0,0
582.5,0,0,0,0,0,0
583.5,0,0,0,0,0,0
584.5,0,0,0,0,0,0
585.5,0,0,0,0,0,0
586.5,0,0,0,0,0,0
587.5,0,0,0,0,0,0
588.5,0,0,0,0,0,0
589.5,0,0,0,0,0,0
590.5,0,0,0,0,0,0
591.5,0,0,0,0,0,0
592.5,0,0,0,0,0,0
593.5,0,0,0,0,0,0
594.5,0,0,0,0,0,0
595.5,0,0,0,0,0,0
596.5,0,0,0,0,0,0
597.5,0,0,0,0,0,0
598.5,0,0,0,0,0,0
599.5,0,0,0,0,0,0
600.5,0,0,0,0,0,0
601.5,0,0,0,0,0,0
602.5,0,0,0,0,0,0
603.5,0,0,0,0,0,0
604.5,0,0,0,0,0,0
605.5,0,0,0,0,0,0
606.5,0,0,0,0,0,0
607.5,0,0,0,0,0,0
608.5,0,0,0,0,0,0
609.5,0,0,0,0,0,0
610.5,0,0,0,0,0,0
611.5,0,0,0,0,0,0
612.5,0,0,0,0,0,0
613.5,0,0,0,0,0,0
614.5,0,0,0,0,0,0
615.5,0,0,0,0,0,0
616.5,0,0,0,0,0,0
617.5,0,0,0,0,0,0
618.5,0,0,0,0,0,0
619.5,0,0,0,0,0,0
620.5,0,0,0,0,0,0
621.5,0,0,0,0,0,0
622.5,0,0,0,0,0,0
623.5,0,0,0,0,0,0
624.5,0,0,0,0,0,0
625.5,0,0,0,0,0,0
626.5,0,0,0,0,0,0
627.5,0,0,0,0,0,0
628.5,0,0,0,0,0,0
629.5,0,0,0,0,0,0
630.5,0,0,0,0,0,0
631.5,0,0,0,0,0,0
632.5,0,0,0,0,0,0
633.5,0,0,0,0,0,0
634.5,0,0,0,0,0,0
635.5,0,0,0,0,0,0
636.5,0,0,0,0,0,0
637.5,0,0,0,0,0,0
638.5,0,0,0,0,0,0
639.5,0,0,0,0,0,0
640.5,0,0,0,0,0,0
641.5,0,0,0,0,0,0
642.5,0,0,0,0,0,0
643.5,0,0,0,0,0,0
644.5,0,0,0,0,0,0
645.5,0,0,0,0,0,0
646.5,0,0,0,0,0,0
647.5,0,0,0,0,0,0
648.5,0,0,0,0,0,0
649.5,0,0,0,0,0,0
650.5,0,0,0,0,0,0
651.5,0,0,0,0,0,0
652.5,0,0,0,0,0,0
653.5,0,0,0,0,0,0
654.5,0,0,0,0,0,0
655.5,0,0,0,0,0,0
656.5,0,0,0,0,0,0
657.5,0,0,0,0,0,0
658.5,0,0,0,0,0,0
659.5,0,0,0,0,0,0
660.5,0,0,0,0,0,0
661.5,0,0,0,0,0,0
662.5,0,0,0,0,0,0
663.5,0,0,0,0,0,0
664.5,0,0,0,0,0,0
665.5,0,0,0,0,0,0
666.5,0,0,0,0,0,0
667.5,0,0,0,0,0,0
668.5,0,0,0,0,0,0
669.5,0,0,0,0,0,0
670.5,0,0,0,0,0,0
671.5,0,0,0,0,0,0
672.5,0,0,0,0,0,0
673.5,0,0,0,0,0,0
674.5,0,0,0,0,0,0
675.5,0,0,0,0,0,0
676.5,0,0,0,0,0,0
677.5,0,0,0,0,0,0
678.5,0,0,0,0,0,0
679.5,0,0,0,0,0,0
680.5,0,0,0,0,0,0
681.5,0,0,0,0,0,0
682.5,0,0,0,0,0,0
683.5,0,0,0,0,0,0
684.5,0,0,0,0,0,0
685.5,0,0,0,0,0,0
686.5,0,0,0,0,0,0
687.5,0,0,0,0,0,0
688.5,0,0,0,0,0,0
689.5,0,0,0,0,0,0
690.5,0,0,0,0,0,0
691.5,0,0,0,0,0,0
692.5,0,0,0,0,0,0
693.5,0,0,0,0,0,0
694.5,0,0,0,0,0,0
695.5,0,0,0,0,0,0
696.5,0,0,0,0,0,0
697.5,0,0,0,0,0,0
698.5,0,0,0,0,0,0
699.5,0,0,0,0,0,0
700.5,0,0,0,0,0,0
701.5,0,0,0,0,0,0
702.5,0,0,0,0,0,0
703.5,0,0,0,0,0,0
704.5,0,0,0,0,0,0
705.5,0,0,0,0,0,0
706.5,0,0,0,0,0,0
707.5,0,0,0,0,0,0
708.5,0,0,0,0,0,0
709.5,0,0,0,0,0,0
710.5,0,0,0,0,0,0
711.5,0,0,0,0,0,0
712.5,0,0,0,0,0,0
713.5,0,0,0,0,0,0
714.5,0,0,0,0,0,0
715.5,0,0,0,0,0,0
716.5,0,0,0,0,0,0
717.5,0,0,0,0,0,0
718.5,0,0,0,0,0,0
719.5,0,0,0,0,0,0
720.5,0,0,0,0,0,0
721.5,0,0,0,0,0,0
722.5,0,0,0,0,0,0
723.5,0,0,0,0,0,0
724.5,0,0,0,0,0,0
725.5,0,0,0,0,0,0
726.5,0,0,0,0,0,0
727.5,0,0,0,0,0,0
728.5,0,0,0,0,0,0
729.5,0,0,0,0,0,0
730.5,0,0,0,0,0,0
731.5,0,0,0,0,0,0
732.5,0,0,0,0,0,0
733.5,0,0,0,0,0,0
734.5,0,0,0,0,0,0
735.5,0,0,0,0,0,0
736.5,0,0,0,0,0,0
737.5,0,0,0,0,0,0
738.5,0,0,0,0,0,0
739.5,0,0,0,0,0,0
740.5,0,0,0,0,0,0
741.5,0,0,0,0,0,0
742.5,0,0,0,0,0,0
743.5,0,0,0,0,0,0
744.5,0,0,0,0,0,0
745.5,0,0,0,0,0,0
746.5,0,0,0,0,0,0
747.5,0,0,0,0,0,0
748.5,0,0,0,0,0,0
749.5,0,0,0,0,0,0
750.5,0,0,0,0,0,0
751.5,0,0,0,0,0,0
752.5,0,0,0,0,0,0
753.5,0,0,0,0,0,0
754.5,0,0,0,0,0,0
755.5,0,0,0,0,0,0
756.5,0,0,0,0,0,0
757.5,0,0,0,0,0,0
758.5,0,0,0,0,0,0
759.5,0,0,0,0,0,0
760.5,0,0,0,0,0,0
761.5,0,0,0,0,0,0
762.5,0,0,0,0,0,0
763.5,0,0,0,0,0,0
764.5,0,0,0,0,0,0
765.5,0,0,0,0,0,0
766.5,0,0,0,0,0,0
767.5,0,0,0,0,0,0
768.5,0,0,0,0,0,0
769.5,0,0,0,0,0,0
770.5,0,0,0,0,0,0
771.5,0,0,0,0,0,0
772.5,0,0,0,0,0,0
773.5,0,0,0,0,0,0
774.5,0,0,0,0,0,0
775.5,0,0,0,0,0,0
776.5,0,0,0,0,0,0
777.5,0,0,0,0,0,0
778.5,0,0,0,0,0,0
779.5,0,0,0,0,0,0
780.5,0,0,0,0,0,0
781.5,0,0,0,0,0,0
782.5,0,0,0,0,0,0
783.5,0,0,0,0,0,0
784.5,0,0,0,0,0,0
785.5,0,0,0,0,0,0
786.5,0,0,0,0,0,0
787.5,0,0,0,0,0,0
788.5,0,0,0,0,0,0
789.5,0,0,0,0,0,0
790.5,0,0,0,0,0,0
791.5,0,0,0,0,0,0
792.5,0,0,0,0,0,0
793.5,0,0,0,0,0,0
794.5,0,0,0,0,0,0
795.5,0,0,0,0,0,0
